arm,pair,b_id,slug,file_hit,sym_hit,file_frac,sym_frac,jaccard,n_gold_files,n_gold_syms
null,-,django__django-15128,django,False,False,0.0,0.0,0.0412573673870334,1,4
null,-,django__django-15277,django,True,False,1.0,0.0,0.008639308855291577,1,1
null,-,django__django-15280,django,False,False,0.0,0.0,0.008583690987124463,1,1
null,-,django__django-15315,django,True,False,1.0,,0.015086206896551725,1,0
null,-,django__django-15368,django,False,False,0.0,0.0,0.010638297872340425,1,1
null,-,django__django-15375,django,False,False,0.0,0.0,0.004301075268817204,1,1
null,-,django__django-15380,django,False,False,0.0,0.0,0.008639308855291577,1,1
null,-,django__django-15382,django,False,False,0.0,,0.006342494714587738,1,0
null,-,django__django-15467,django,False,False,0.0,0.0,0.004301075268817204,1,1
null,-,django__django-15503,django,False,False,0.0,0.0,0.00816326530612245,1,7
null,-,django__django-15525,django,True,False,1.0,0.0,0.0021551724137931034,1,1
null,-,django__django-15554,django,False,False,0.0,0.0,0.032989690721649485,1,7
null,-,django__django-15563,django,False,False,0.0,0.0,0.03815261044176707,2,2
null,-,django__django-15569,django,False,False,0.0,0.0,0.0,1,1
null,-,django__django-15572,django,False,False,0.0,0.0,0.01284796573875803,1,1
null,-,django__django-15629,django,True,True,0.75,0.3333333333333333,0.026156941649899398,4,3
null,-,django__django-15695,django,True,False,1.0,0.0,0.015053763440860216,1,1
null,-,django__django-15731,django,False,False,0.0,0.0,0.008620689655172414,1,1
null,-,django__django-15732,django,True,False,1.0,0.0,0.03319502074688797,1,6
null,-,django__django-15741,django,False,False,0.0,0.0,0.004329004329004329,1,1
null,-,django__django-15814,django,False,False,0.0,0.0,0.0021645021645021645,1,1
null,-,django__django-15851,django,False,False,0.0,0.0,0.0021645021645021645,1,1
null,-,django__django-15863,django,False,False,0.0,0.0,0.0021598272138228943,1,1
null,-,django__django-15916,django,True,False,1.0,0.0,0.00847457627118644,1,1
null,-,django__django-15930,django,False,False,0.0,0.0,0.02100840336134454,1,1
null,-,django__django-15957,django,False,False,0.0,0.0,0.028455284552845527,1,4
null,-,django__django-15973,django,False,False,0.0,0.0,0.006507592190889371,1,1
null,-,django__django-15987,django,False,False,0.0,0.0,0.004329004329004329,1,1
null,-,django__django-16032,django,False,False,0.0,0.0,0.010615711252653927,2,5
null,-,django__django-16082,django,False,False,0.0,,0.0,1,0
null,-,django__django-16100,django,False,False,0.0,0.0,0.018867924528301886,1,1
null,-,django__django-16116,django,False,False,0.0,0.0,0.023504273504273504,1,2
null,-,django__django-16136,django,True,False,1.0,0.0,0.004273504273504274,1,2
null,-,django__django-16139,django,False,False,0.0,,0.0021551724137931034,1,0
null,-,django__django-16145,django,False,False,0.0,0.0,0.0021551724137931034,1,1
null,-,django__django-16255,django,True,False,1.0,0.0,0.010775862068965518,1,1
null,-,django__django-16256,django,True,False,0.5,0.0,0.016913319238900635,2,8
null,-,django__django-16263,django,False,False,0.0,0.0,0.04900181488203267,4,11
null,-,django__django-16315,django,False,False,0.0,0.0,0.010706638115631691,2,3
